

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1408.771  000.032  000.032: sourcing /home/sroeca/.config/nvim/pack/packager/start/haskell-vim/ftdetect/haskell.vim
1409.113  000.242  000.242: sourcing /home/sroeca/.config/nvim/pack/packager/start/hexmode/plugin/hexmode.vim
1409.385  000.065  000.065: sourcing /home/sroeca/.config/nvim/pack/packager/start/limelight.vim/plugin/limelight.vim
1409.646  000.150  000.150: sourcing /home/sroeca/.config/nvim/pack/packager/start/markdown-preview.nvim/plugin/mkdp.vim
1409.865  000.112  000.112: sourcing /home/sroeca/.config/nvim/pack/packager/start/neco-vim/plugin/necovim.vim
1410.796  000.051  000.051: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/setup.vim
1410.917  000.947  000.896: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/plugin/neomake.vim
1411.275  000.219  000.219: sourcing /home/sroeca/.config/nvim/pack/packager/start/neosnippet.vim/plugin/neosnippet.vim
1411.379  000.027  000.027: sourcing /home/sroeca/.config/nvim/pack/packager/start/neosnippet.vim/ftdetect/neosnippet.vim
1411.524  000.063  000.063: sourcing /home/sroeca/.config/nvim/pack/packager/start/nginx.vim/ftdetect/nginx.vim
1411.993  000.370  000.370: sourcing /home/sroeca/.config/nvim/pack/packager/start/open-browser.vim/plugin/openbrowser.vim
1412.319  000.066  000.066: sourcing /home/sroeca/.config/nvim/pack/packager/start/plantuml-previewer.vim/plugin/plantuml-previewer.vim
1412.508  000.072  000.072: sourcing /home/sroeca/.config/nvim/pack/packager/start/plantuml-syntax/ftdetect/plantuml.vim
1413.528  000.862  000.862: sourcing /home/sroeca/.config/nvim/pack/packager/start/quick-scope/plugin/quick_scope.vim
1413.806  000.078  000.078: sourcing /home/sroeca/.config/nvim/pack/packager/start/requirements.txt.vim/plugin/requirements.vim
1413.970  000.083  000.083: sourcing /home/sroeca/.config/nvim/pack/packager/start/requirements.txt.vim/ftdetect/requirements.vim
1414.126  000.023  000.023: sourcing /home/sroeca/.config/nvim/pack/packager/start/ron.vim/ftdetect/ron.vim
1414.288  000.056  000.056: sourcing /home/sroeca/.config/nvim/pack/packager/start/rst-tables.nvim/plugin/rst-tables.vim
1414.591  000.116  000.116: sourcing /home/sroeca/.config/nvim/pack/packager/start/rust.vim/plugin/cargo.vim
1414.686  000.058  000.058: sourcing /home/sroeca/.config/nvim/pack/packager/start/rust.vim/plugin/rust.vim
1414.818  000.054  000.054: sourcing /home/sroeca/.config/nvim/pack/packager/start/rust.vim/ftdetect/rust.vim
1415.054  000.093  000.093: sourcing /home/sroeca/.config/nvim/pack/packager/start/tabline/plugin/tabline.vim
1415.502  000.325  000.325: sourcing /home/sroeca/.config/nvim/pack/packager/start/tabular/plugin/Tabular.vim
1416.931  001.298  001.298: sourcing /home/sroeca/.config/nvim/pack/packager/start/tagbar/plugin/tagbar.vim
1417.343  000.193  000.193: sourcing /home/sroeca/.config/nvim/pack/packager/start/tagbar-markdown/plugin/markdown_tagbar.vim
1418.187  000.630  000.630: sourcing /home/sroeca/.config/nvim/pack/packager/start/targets.vim/plugin/targets.vim
1418.453  000.054  000.054: sourcing /home/sroeca/.config/nvim/pack/packager/start/typescript-vim/ftdetect/typescript.vim
1419.035  000.397  000.397: sourcing /home/sroeca/.config/nvim/pack/packager/start/undotree/plugin/undotree.vim
1419.390  000.123  000.123: sourcing /home/sroeca/.config/nvim/pack/packager/start/vader.vim/plugin/vader.vim
1419.566  000.055  000.055: sourcing /home/sroeca/.config/nvim/pack/packager/start/vader.vim/ftdetect/vader.vim
1421.508  001.763  001.763: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-abolish/plugin/abolish.vim
1422.081  000.297  000.297: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-altscreen/plugin/altscreen.vim
